,Unnamed: 0,제목,연도,장르,제작국가,왓챠평점
0,0,아바타,2010,SF,"['영국', '미국']",평균 ★3.9 (89만명)
1,1,아저씨,2010,드라마,['한국'],평균 ★3.9 (132만명)
2,2,인셉션,2010,액션,"['미국', '영국']",평균 ★4.4 (114만명)
3,3,의형제,2010,드라마,['한국'],평균 ★3.5 (64만명)
4,4,아이언맨 2,2010,SF,['미국'],평균 ★4.0 (97만명)
5,5,전우치,2010,액션,['한국'],평균 ★3.4 (103만명)
6,6,이끼,2010,드라마,['한국'],평균 ★3.3 (45만명)
7,7,포화속으로,2010,전쟁,['한국'],평균 ★3.3 (53만명)
8,8,하모니,2010,드라마,['한국'],평균 ★3.6 (61만명)
9,9,방자전,2010,드라마,['한국'],평균 ★3.0 (40만명)
0,0,트랜스포머 3,2011,액션,['미국'],평균 ★3.5 (55만명)
1,1,최종병기 활,2011,시대극,['한국'],평균 ★3.6 (63만명)
2,2,써니,2011,드라마,['한국'],평균 ★4.0 (196만명)
3,3,완득이,2011,드라마,['한국'],평균 ★3.4 (86만명)
4,4,쿵푸팬더 2,2011,애니메이션,['미국'],평균 ★3.5 (43만명)
5,5,미션임파서블:고스트프로토콜,2011,액션,['미국'],평균 ★3.9 (46만명)
6,6,조선명탐정 : 각시투구꽃의 비밀,2011,코미디,['한국'],평균 ★3.3 (61만명)
7,7,도가니,2011,스릴러,['한국'],평균 ★3.6 (74만명)
8,8,해리포터와 죽음의 성물2,2011,모험,"['영국', '미국']",평균 ★4.1 (58만명)
9,9,리얼 스틸,2011,액션,['미국'],평균 ★3.7 (61만명)
0,0,도둑들,2012,범죄,['한국'],평균 ★3.8 (187만명)
1,1,"광해, 왕이 된 남자",2012,시대극,['한국'],평균 ★4.0 (170만명)
2,2,어벤져스,2012,모험,['미국'],평균 ★4.2 (183만명)
3,3,늑대소년,2012,로맨스,['한국'],평균 ★3.5 (130만명)
4,4,다크 나이트 라이즈,2012,액션,"['영국', '미국']",평균 ★4.2 (62만명)
5,5,바람과 함께 사라지다,2012,시대극,['한국'],평균 ★3.2 (43만명)
6,6,어메이징 스파이더맨,2012,액션,['미국'],평균 ★3.8 (88만명)
7,7,범죄와의 전쟁: 나쁜놈들 전성시대,2012,액션,['한국'],평균 ★4.0 (102만명)
8,8,내 아내의 모든 것,2012,로맨스,['한국'],평균 ★3.6 (80만명)
9,9,연가시,2012,드라마,['한국'],평균 ★3.1 (79만명)
0,0,7번방의 선물,2013,드라마,['한국'],평균 ★3.9 (162만명)
1,1,설국열차,2013,액션,['한국'],평균 ★3.7 (140만명)
2,2,관상,2013,드라마,['한국'],평균 ★3.7 (134만명)
3,3,아이언맨 3,2013,SF,['미국'],평균 ★4.1 (104만명)
4,4,베를린,2013,액션,['한국'],평균 ★3.5 (88만명)
5,5,은밀하게 위대하게,2013,액션,['한국'],평균 ★3.4 (128만명)
6,6,변호인,2013,드라마,['한국'],평균 ★4.1 (142만명)
7,7,숨바꼭질,2013,스릴러,['한국'],평균 ★3.5 (63만명)
8,8,더 테러 라이브,2013,드라마,['한국'],평균 ★3.5 (96만명)
9,9,감시자들,2013,액션,['한국'],평균 ★3.5 (69만명)
0,0,명량,2014,시대극,['한국'],평균 ★3.7 (112만명)
1,1,겨울왕국,2014,모험,['미국'],평균 ★4.0 (174만명)
2,2,인터스텔라,2014,모험,"['미국', '영국', '캐나다']",평균 ★4.3 (102만명)
3,3,수상한 그녀,2014,코미디,['한국'],평균 ★3.8 (120만명)
4,4,해적: 바다로 간 산적,2014,액션,['한국'],평균 ★3.3 (57만명)
5,5,변호인,2014,드라마,['한국'],평균 ★4.1 (142만명)
6,6,국제시장,2014,드라마,['한국'],평균 ★3.8 (101만명)
7,7,트랜스포머: 사라진 시대,2014,액션,"['미국', '중국', '홍콩']",평균 ★3.1 (20만명)
8,8,군도: 민란의 시대,2014,드라마,['한국'],평균 ★3.3 (47만명)
9,9,엣지 오브 투모로우,2014,액션,"['미국', '캐나다']",평균 ★3.9 (42만명)
0,0,베테랑,2015,액션,['한국'],평균 ★4.0 (161만명)
1,1,암살,2015,액션,['한국'],평균 ★4.0 (129만명)
2,2,어벤져스: 에이지 오브 울트론,2015,액션,['미국'],평균 ★3.8 (49만명)
3,3,국제시장,2015,드라마,['한국'],평균 ★3.8 (101만명)
4,4,내부자들,2015,범죄,['한국'],평균 ★4.0 (81만명)
5,5,사도,2015,시대극,['한국'],평균 ★3.7 (65만명)
6,6,킹스맨 : 시크릿 에이전트,2015,액션,"['영국', '미국']",평균 ★4.1 (84만명)
7,7,미션 임파서블: 로그네이션,2015,액션,"['미국', '중국', '홍콩', '오스트리아', '영국', '모로코']",평균 ★3.8 (16만명)
8,8,연평해전,2015,전쟁,['한국'],평균 ★3.5 (35만명)
9,9,쥬라기 월드,2015,액션,['미국'],평균 ★3.6 (25만명)
0,0,부산행,2016,액션,['한국'],평균 ★3.8 (118만명)
1,1,검사외전,2016,드라마,['한국'],평균 ★3.7 (107만명)
2,2,캡틴 아메리카: 시빌 워,2016,액션,['미국'],평균 ★3.9 (31만명)
3,3,밀정,2016,액션,['한국'],평균 ★3.7 (28만명)
4,4,터널,2016,드라마,['한국'],평균 ★3.6 (72만명)
5,5,인천상륙작전,2016,전쟁,['한국'],평균 ★2.8 (9만명)
6,6,럭키,2016,코미디,['한국'],평균 ★3.6 (72만명)
7,7,곡성,2016,미스터리,['한국'],평균 ★3.9 (39만명)
8,8,덕혜옹주,2016,시대극,['한국'],평균 ★3.4 (32만명)
9,9,닥터 스트레인지,2016,액션,['미국'],평균 ★3.9 (46만명)
0,0,공조,2017,액션,['한국'],평균 ★3.6 (47만명)
1,1,택시운전사,2017,가족,['한국'],평균 ★4.0 (80만명)
2,2,더 킹,2017,범죄,['한국'],평균 ★3.5 (47만명)
3,3,미녀와 야수,2017,가족,['미국'],평균 ★3.5 (19만명)
4,4,신과함께-죄와 벌,2017,판타지,['한국'],평균 ★3.8 (89만명)
5,5,분노의 질주: 더 익스트림,2017,액션,"['중국', '일본', '미국']",평균 ★3.6 (6만명)
6,6,스파이더맨: 홈 커밍,2017,액션,['미국'],평균 ★4.1 (60만명)
7,7,너의 이름은.,2017,드라마,['일본'],평균 ★4.0 (110만명)
8,8,미이라,2017,액션,['미국'],평균 ★2.7 (7만명)
9,9,범죄도시,2017,범죄,['한국'],평균 ★3.9 (50만명)
0,0,신과함께-인과 연,2018,드라마,['한국'],평균 ★3.6 (28만명)
1,1,어벤져스: 인피니티 워,2018,액션,['미국'],평균 ★4.0 (22만명)
2,2,보헤미안 랩소디,2018,드라마,"['미국', '영국']",평균 ★3.9 (20만명)
3,3,미션 임파서블: 폴아웃,2018,액션,['미국'],평균 ★3.7 (11만명)
4,4,신과함께-죄와 벌,2018,판타지,['한국'],평균 ★3.8 (89만명)
5,5,쥬라기 월드: 폴른 킹덤,2018,SF,"['스페인', '미국']",평균 ★3.2 (7만명)
6,6,앤트맨과 와스프,2018,SF,"['미국', '영국']",평균 ★3.6 (16만명)
7,7,안시성,2018,시대극,['한국'],평균 ★3.1 (10만명)
8,8,블랙 팬서,2018,액션,['미국'],평균 ★3.5 (21만명)
9,9,완벽한 타인,2018,코미디,['한국'],평균 ★3.8 (41만명)
0,0,극한직업,2019,코미디,['한국'],평균 ★4.1 (62만명)
1,1,어벤져스: 엔드게임,2019,액션,['미국'],평균 ★4.2 (17만명)
2,2,겨울왕국 2,2019,애니메이션,['미국'],평균 ★3.7 (12만명)
3,3,알라딘,2019,모험,['미국'],평균 ★3.9 (17만명)
4,4,기생충,2019,드라마,['한국'],평균 ★4.3 (54만명)
5,5,엑시트,2019,코미디,['한국'],평균 ★3.9 (40만명)
6,6,스파이더맨: 파 프롬 홈,2019,액션,['미국'],평균 ★3.6 (13만명)
7,7,백두산,2019,드라마,['한국'],평균 ★2.9 (5만명)
8,8,캡틴 마블,2019,액션,['미국'],평균 ★3.5 (13만명)
9,9,조커,2019,스릴러,['미국'],평균 ★3.9 (14만명)
0,0,남산의 부장들,2020,드라마,['한국'],평균 ★3.5 (6만명)
1,1,다만 악에서 구하소서,2020,범죄,['한국'],평균 ★3.0 (4만명)
2,2,반도,2020,액션,['한국'],평균 ★2.9 (10만명)
3,3,히트맨,2020,코미디,['한국'],평균 ★2.9 (3만명)
4,4,테넷,2020,액션,"['영국', '미국']",평균 ★3.8 (6만명)
5,5,백두산,2020,드라마,['한국'],평균 ★2.9 (5만명)
6,6,#살아있다,2020,드라마,['한국'],평균 ★2.1 (4만명)
7,7,강철비2: 정상회담,2020,드라마,['한국'],평균 ★2.7 (2만명)
8,8,담보,2020,드라마,['한국'],"평균 ★2.7 (7,119명)"
9,9,닥터 두리틀,2020,모험,['미국'],평균 ★2.8 (2만명)
